percentile,fy,baseline,high_inflation,no_policy,indexed_brackets
0.067,FY2029_30,0,0,0,0
0.067,FY2030_31,0,0,0,0
0.067,FY2031_32,0,0,0,0
0.067,FY2032_33,0,0,0,0
0.067,FY2033_34,0,0,0,0
0.067,FY2034_35,0,0,0,0
0.068,FY2025_26,0,0,0,0
0.068,FY2026_27,0,0,0,0
0.068,FY2027_28,0,0,0,0
0.068,FY2028_29,0,0,0,0
0.068,FY2029_30,0,0,0,0
0.068,FY2030_31,0,0,0,0
0.068,FY2031_32,0,0,0,0
0.068,FY2032_33,0,0,0,0
0.068,FY2033_34,0,0,0,0
0.068,FY2034_35,0,0,0,0
0.069,FY2025_26,0,0,0,0
0.069,FY2026_27,0,0,0,0
0.069,FY2027_28,0,0,0,0
0.069,FY2028_29,0,0,0,0
0.069,FY2029_30,0,0,0,0
0.069,FY2030_31,0,0,0,0
0.069,FY2031_32,0,0,0,0
0.069,FY2032_33,0,0,0,0
0.069,FY2033_34,0,0,0,0
0.069,FY2034_35,0,0,0,0
0.07,FY2025_26,0,0,0,0
0.07,FY2026_27,0,0,0,0
0.07,FY2027_28,0,0,0,0
0.07,FY2028_29,0,0,0,0
0.07,FY2029_30,0,0,0,0
0.07,FY2030_31,0,0,0,0
0.07,FY2031_32,0,0,0,0
0.07,FY2032_33,0,0,0,0
0.07,FY2033_34,0,0,0,0
0.07,FY2034_35,0,0,0,0
0.071,FY2025_26,0,0,0,0
0.071,FY2026_27,0,0,0,0
0.071,FY2027_28,0,0,0,0
0.071,FY2028_29,0,0,0,0
0.071,FY2029_30,0,0,0,0
0.071,FY2030_31,0,0,0,0
0.071,FY2031_32,0,0,0,0
0.071,FY2032_33,0,0,0,0
0.071,FY2033_34,0,0,0,0
0.071,FY2034_35,0,0,0,0
0.072,FY2025_26,0,0,0,0
0.072,FY2026_27,0,0,0,0
0.072,FY2027_28,0,0,0,0
0.072,FY2028_29,0,0,0,0
0.072,FY2029_30,0,0,0,0
0.072,FY2030_31,0,0,0,0
0.072,FY2031_32,0,0,0,0
0.072,FY2032_33,0,0,0,0
0.072,FY2033_34,0,0,0,0
0.072,FY2034_35,0,0,0,0
0.073,FY2025_26,0,0,0,0
0.073,FY2026_27,0,0,0,0
0.073,FY2027_28,0,0,0,0
0.073,FY2028_29,0,0,0,0
0.073,FY2029_30,0,0,0,0
0.073,FY2030_31,0,0,0,0
0.073,FY2031_32,0,0,0,0
