year,scenario,category,baseline_share_gdp,data_enhanced_share_gdp,difference_pp
2062,restraint,Housing and community amenities,0.00431842553120707,0.0042133163487458,-0.0105109182461267
2062,restraint,Public order and safety,0.0179187368113874,0.0198865857951995,0.19678489838121
2062,restraint,"Recreation, culture and religion",0.0062032134275866,0.00663460427940115,0.0431390851814551
2062,restraint,Social Protection,0.118232090757462,0.109128880312501,-0.910321044496061
2062,restraint,Transport,0.0146471750233475,0.0164646075722371,0.181743254888961
2063,central,Defence,0.0226192872886686,0.0226053856326972,-0.0013901655971392
2063,central,Economic affairs,0.0154392876138308,0.0132474745467039,-0.219181306712689
2063,central,Education,0.0478462245942212,0.0519424962611144,0.409627166689321
2063,central,Environmental Protection,0.00691862566057506,0.00804821302691424,0.112958736633918
2063,central,General public services excl interest,0.0213219675445099,0.0212828628622043,-0.00391046823055956
2063,central,Health,0.100917110714638,0.104804509706748,0.388739899210977
2063,central,Housing and community amenities,0.00462962182023272,0.00451418216524082,-0.0115439654991898
2063,central,Public order and safety,0.019260811747311,0.0214317932211783,0.217098147386731
2063,central,"Recreation, culture and religion",0.00665023213492538,0.00712468557428371,0.0474453439358325
2063,central,Social Protection,0.127413497098057,0.117369108548946,-1.00443885491108
2063,central,Transport,0.0157026862227501,0.0177027692575299,0.200008303477977
2063,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349803
2063,pressure,Economic affairs,0.016748865738167,0.0143664065343819,-0.238245920378513
2063,pressure,Education,0.0519188922485015,0.0563775850318652,0.445869278336369
2063,pressure,Environmental Protection,0.00750547144272394,0.00873447441606784,0.12290029733439
2063,pressure,General public services excl interest,0.0231305213432669,0.0230890163536873,-0.00415049895796452
2063,pressure,Health,0.120040929234824,0.124670394239013,0.462946500418927
2063,pressure,Housing and community amenities,0.00502231166521591,0.00489699507997777,-0.0125316585238137
2063,pressure,Public order and safety,0.0209002908423435,0.0232631316036889,0.236284076134536
2063,pressure,"Recreation, culture and religion",0.00721431246968473,0.00773064926994099,0.0516336800256263
2063,pressure,Social Protection,0.151542324172829,0.139601573162954,-1.1940751009875
2063,pressure,Transport,0.0170346061198965,0.0192107972884041,0.217619116850759
2063,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596432
2063,restraint,Economic affairs,0.0143715253361452,0.0123356026777408,-0.203592265840436
2063,restraint,Education,0.0445265851892321,0.0483303190266653,0.380373383743324
2063,restraint,Environmental Protection,0.00644014195856979,0.00748916806156391,0.104902610299411
2063,restraint,General public services excl interest,0.0198473663064534,0.0198112299189451,-0.00361363875082919
2063,restraint,Health,0.0857051198692626,0.0890081378896119,0.330301802034931
2063,restraint,Housing and community amenities,0.00430944282860836,0.00420226109142006,-0.0107181737188296
2063,restraint,Public order and safety,0.0179244691165034,0.0199403002898601,0.201583117335671
2063,restraint,"Recreation, culture and religion",0.00619031020140528,0.00663099924715443,0.0440689045749148
2063,restraint,Social Protection,0.118573366674365,0.109246742261276,-0.932662441308864
2063,restraint,Transport,0.0146167076189208,0.0164742424071731,0.185753478825232
2064,central,Defence,0.0226192872886686,0.0226053856326972,-0.0013901655971392
2064,central,Economic affairs,0.0154435191843312,0.0132063410086439,-0.223717817568727
2064,central,Education,0.0478557381376115,0.0520483858920398,0.419264775442828
2064,central,Environmental Protection,0.00692052190429956,0.00807761448484446,0.11570925805449
2064,central,General public services excl interest,0.0213278114287051,0.0212881190259225,-0.00396924027825825
2064,central,Health,0.10190532109972,0.105921082565705,0.401576146598526
2064,central,Housing and community amenities,0.00463089069815069,0.00451295064992385,-0.0117940048226836
2064,central,Public order and safety,0.0193125792677415,0.0215407177845009,0.222813851675936
2064,central,"Recreation, culture and religion",0.0066520548178643,0.00713764916666258,0.0485594348798283
2064,central,Social Protection,0.128082900773047,0.117772514093358,-1.03103866796895
2064,central,Transport,0.0157069899850388,0.0177550720724422,0.204808208740338
2064,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349803
2064,pressure,Economic affairs,0.01679328877167,0.0143556375259891,-0.243765124568089
2064,pressure,Education,0.0520532275886723,0.0566278780605602,0.457465047188795
2064,pressure,Environmental Protection,0.00752537821220721,0.00878735465834431,0.12619764461371
2064,pressure,General public services excl interest,0.0231918704483727,0.0231496251799954,-0.00422452683772612
