income,income_budget_year,income_future_year,etr_pre_budget_2026,etr_budget_year,etr_future_year,diff,diff_doll
112500,118195.3125,151299.992727708,0.218115555555556,0.2154111970388,0.241460667979012,0.0260494709402122,2930.56548077388
113000,118720.625,151972.437139832,0.218477876106195,0.215785483777566,0.242029426085299,0.0262439423077334,2965.56548077388
113500,119245.9375,152644.881551955,0.218837004405286,0.216156472835815,0.24259317310695,0.0264367002711355,3000.56548077388
114000,119771.25,153317.325964078,0.21919298245614,0.216524207604079,0.243151974979288,0.0266277673752094,3035.56548077388
114500,120296.5625,153989.770376201,0.219545851528384,0.216888730714978,0.243705896485929,0.0268171657709509,3070.56548077388
115000,120821.875,154662.214788324,0.219895652173913,0.217250084059695,0.244255001283816,0.0270049172241207,3105.56548077388
115500,121347.1875,155334.659200447,0.220242424242424,0.217608308804026,0.244799351927609,0.0271910431235834,3140.56548077388
116000,121872.5,156007.10361257,0.220586206896552,0.217963445404008,0.245339009893438,0.02737556448943,3175.56548077388
116500,122397.8125,156679.548024694,0.220927038626609,0.218315533621158,0.24587403560205,0.0275585019808917,3210.56548077388
117000,122923.125,157351.992436817,0.221264957264957,0.218664612537307,0.246404488441358,0.0277398759040503,3245.56548077388
117500,123448.4375,158024.43684894,0.2216,0.219010720569064,0.246930426788416,0.0279197062193521,3280.56548077388
118000,123973.75,158696.881261063,0.221932203389831,0.219353895481906,0.247451908030838,0.0280980125489311,3315.56548077387
118500,124499.0625,159369.325673186,0.222261603375527,0.219694174403924,0.24796898858767,0.0282748141837458,3350.56548077388
119000,125024.375,160041.770085309,0.222588235294118,0.220031593839201,0.248481723929738,0.0284501300905368,3385.56548077387
119500,125549.6875,160714.214497433,0.222912133891213,0.220366189680878,0.248990168599488,0.0286239789186098,3420.56548077387
120000,126075,161386.658909556,0.223233333333333,0.220697997223875,0.249494376230324,0.028796379006449,3455.56548077388
120500,126600.3125,162059.103321679,0.223551867219917,0.221027051177303,0.249994399565468,0.0289673483881649,3490.56548077387
121000,127125.625,162731.547733802,0.223867768595041,0.22135338567657,0.250490290476354,0.0291369047997841,3525.56548077388
121500,127650.9375,163403.992145925,0.224181069958848,0.221677034295185,0.250982099980567,0.0293050656853817,3560.56548077387
122000,128176.25,164076.436558048,0.224491803278689,0.22199803005627,0.251469878259335,0.0294718482030645,3595.56548077387
122500,128701.5625,164748.880970171,0.2248,0.222316405443796,0.251953674674603,0.0296372692308071,3630.56548077387
123000,129226.875,165421.325382295,0.225105691056911,0.222632192413536,0.252433537785682,0.0298013453721453,3665.56548077388
123500,129752.1875,166093.769794418,0.225408906882591,0.222945422403765,0.252909515365497,0.0299640929617318,3700.56548077388
124000,130277.5,166766.214206541,0.225709677419355,0.223256126345685,0.253381654416442,0.0301255280707571,3735.56548077387
124500,130802.8125,167438.658618664,0.226008032128514,0.223564334673614,0.253850001185854,0.03028566651224,3770.56548077388
125000,131328.125,168111.103030787,0.226304,0.22387007733492,0.254314601181111,0.030444523846191,3805.56548077388
125500,131853.4375,168783.54744291,0.226597609561753,0.224173383799721,0.254775499184373,0.0306021153846524,3840.56548077387
126000,132378.75,169455.991855033,0.226888888888889,0.224474283070357,0.255232739266975,0.030758456196618,3875.56548077387
126500,132904.0625,170128.436267157,0.227177865612648,0.224772803690632,0.255686364803469,0.030913561112837,3910.56548077388
127000,133429.375,170800.88067928,0.227464566929134,0.225068973754842,0.256136418485345,0.031067444730503,3945.56548077388
127500,133954.6875,171473.325091403,0.227749019607843,0.225362820916588,0.256582942334422,0.0312201214178343,3980.56548077388
128000,134480,172145.769503526,0.22803125,0.225654372397383,0.257025977715928,0.0313716053185459,4015.56548077387
128500,135005.3125,172818.213915649,0.228311284046693,0.225946409516292,0.257465565351275,0.0315191558349828,4050.21152479529
129000,135530.625,173490.658327772,0.228589147286822,0.226504756766229,0.257901745330534,0.0313969885643046,4050.21152479529
129500,136055.9375,174163.102739895,0.228864864864865,0.22705879245439,0.258334557124624,0.0312757646702339,4050.21152479529
130000,136581.25,174835.547152019,0.229138461538462,0.227608566329566,0.258764039597222,0.0311554732676561,4050.21152479529
130500,137106.5625,175507.991564142,0.229409961685824,0.228154127378111,0.25919023101639,0.0310361036382781,4050.21152479529
131000,137631.875,176180.435976265,0.229679389312977,0.2286955238385,0.259613169065945,0.030917645227445,4050.21152479529
