year,cofog_group_name,exp_gdp_f,0_14,15_34,35_54,55_64,65p
2015,082 Cultural services,0.0941116877425067,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,082 Cultural services,0.0962606142554155,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,082 Cultural services,0.0983567273319038,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,082 Cultural services,0.0985893816395693,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,082 Cultural services,0.0980272386319292,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,083 Broadcasting and publishing services,0.064801570072364,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,083 Broadcasting and publishing services,0.0518072453491627,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,083 Broadcasting and publishing services,0.0549269643837048,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,083 Broadcasting and publishing services,0.0525480172532941,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,083 Broadcasting and publishing services,0.051747896972306,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,083 Broadcasting and publishing services,0.0505053625080246,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,083 Broadcasting and publishing services,0.0494327589620585,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,083 Broadcasting and publishing services,0.0482622752247791,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,083 Broadcasting and publishing services,0.0443748481496674,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,083 Broadcasting and publishing services,0.0438114774280862,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,083 Broadcasting and publishing services,0.0445230517230069,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,083 Broadcasting and publishing services,0.0431351405893963,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,083 Broadcasting and publishing services,0.0413172208703224,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,083 Broadcasting and publishing services,0.0407583838716064,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,083 Broadcasting and publishing services,0.0427373032263764,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,083 Broadcasting and publishing services,0.0384487913267027,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,083 Broadcasting and publishing services,0.0392000538884357,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,083 Broadcasting and publishing services,0.0367476167038026,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,083 Broadcasting and publishing services,0.0301697426725027,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,083 Broadcasting and publishing services,0.033222942474648,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,083 Broadcasting and publishing services,0.0308481304462003,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,084 Religious and other community services,0,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,084 Religious and other community services,0,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,084 Religious and other community services,0,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,084 Religious and other community services,0,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,084 Religious and other community services,0,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,084 Religious and other community services,0,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,084 Religious and other community services,0,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,084 Religious and other community services,0,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,084 Religious and other community services,0,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,084 Religious and other community services,0,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,084 Religious and other community services,0,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,084 Religious and other community services,0,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,084 Religious and other community services,0,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,084 Religious and other community services,0,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,084 Religious and other community services,0,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,084 Religious and other community services,0,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
