scenario,year,g,r_star,r_add,phi,pb,sfa,r_exog,r_phi,r,b,int_gdp,overall
IR shock: +150bp + transient GDP effect (built on 2),2067,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00086222851010533,0.0448622285101053,0.397677175270218,0.0169670847099257,-0.00805443410751607
IR shock: +150bp + transient GDP effect (built on 2),2068,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000879110438829425,0.0448791104388294,0.398243546584505,0.0169975217790036,-0.008084871176594
IR shock: +150bp + transient GDP effect (built on 2),2069,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000896101578258046,0.0448961015782581,0.398813600076579,0.0170281740193749,-0.0081155234169653
IR shock: +150bp + transient GDP effect (built on 2),2070,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000913203183020251,0.0449132031830203,0.399387378194789,0.0170590440498963,-0.0081463934474867
IR shock: +150bp + transient GDP effect (built on 2),2071,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000930416526566565,0.0449304165265666,0.399964924026755,0.017090134531186,-0.0081774839287763
IR shock: +150bp + transient GDP effect (built on 2),2072,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000947742901525552,0.0449477429015256,0.400546281311521,0.0171214481664598,-0.00820879756405017
IR shock: +150bp + transient GDP effect (built on 2),2073,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000965183620068517,0.0449651836200685,0.401131494451988,0.0171529877023887,-0.00824033709997907
IR shock: +150bp + transient GDP effect (built on 2),2074,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000982740014282544,0.0449827400142826,0.40172060852764,0.0171847559299756,-0.00827210532756599
IR shock: +150bp + transient GDP effect (built on 2),2075,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00100041343655208,0.0450004134365521,0.402313669307548,0.0172167556854544,-0.00830410508304471
IR shock: +150bp + transient GDP effect (built on 2),2076,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00101820525994933,0.0450182052599493,0.402910723263693,0.0172489898512101,-0.00833633924880043
IR shock: +150bp + transient GDP effect (built on 2),2077,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00103611687863367,0.0450361168786337,0.403511817584581,0.0172814613567224,-0.00836881075431273
IR shock: +150bp + transient GDP effect (built on 2),2078,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00105414970826032,0.0450541497082603,0.404117000189188,0.0173141731795314,-0.00840152257712173
IR shock: +150bp + transient GDP effect (built on 2),2079,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00107230518639854,0.0450723051863985,0.404726319741225,0.0173471283462276,-0.00843447774381794
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2030,0.0469565217391304,0.042,0.006,0.03,0.00374960712414874,0.0114185084838942,0.048,0,0.048,0.376409544997419,0.0168888844414202,-0.0131392773172714
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2031,0.0451304347826087,0.042,0.006,0.03,0.00653873755893142,0.0114185084838942,0.048,0.000241081530645465,0.0482410815306455,0.38240963266765,0.0173742941022578,-0.0108355565433264
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2032,0.0439130434782609,0.042,0.006,0.03,0.00471265060240961,0.0114185084838942,0.048,0.000421084160752391,0.0484210841607524,0.390766890722944,0.0177377695613287,-0.0130251189589191
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2033,0.0520289855072464,0.042,0.002,0.03,0.00532134625458358,0.0114185084838942,0.044,0.000671801902411225,0.0446718019024112,0.394131291971955,0.0165929469367043,-0.0112716006821207
