time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
194,186468,0,0,0.324410455938172,0.282657144450439,0.000621072565724774,0.00317840562350739
195,186468,0,0,0.324410455938172,0.282657144450439,0.000621072565724774,0.00317840562350739
196,186468,5134,0,0.3154980965317,0.273956264543242,0.000616534459753361,0.00315657338867263
197,181334,0,0,0.3154980965317,0.273956264543242,0.000616534459753361,0.00315657338867263
198,181334,0,0,0.3154980965317,0.273956264543242,0.000616534459753361,0.00315657338867263
199,181334,0,0,0.3154980965317,0.273956264543242,0.000616534459753361,0.00315657338867263
200,181334,0,0,0.3154980965317,0.273956264543242,0.000616534459753361,0.00315657338867263
201,181334,0,0,0.3154980965317,0.273956264543242,0.000616534459753361,0.00315657338867263
202,181334,0,0,0.3154980965317,0.273956264543242,0.000616534459753361,0.00315657338867263
203,181334,4158,0,0.308279425604536,0.266930862862613,0.000612663802854606,0.00313718802312118
204,177176,0,0,0.308279425604536,0.266930862862613,0.000612663802854606,0.00313718802312118
205,177176,0,0,0.308279425604536,0.266930862862613,0.000612663802854606,0.00313718802312118
206,177176,0,0,0.308279425604536,0.266930862862613,0.000612663802854606,0.00313718802312118
207,177176,0,0,0.308279425604536,0.266930862862613,0.000612663802854606,0.00313718802312118
208,177176,0,0,0.308279425604536,0.266930862862613,0.000612663802854606,0.00313718802312118
209,177176,0,0,0.308279425604536,0.266930862862613,0.000612663802854606,0.00313718802312118
210,177176,5111,0,0.299405622920893,0.258322236695224,0.000607662224682035,0.00311121892504673
211,172065,0,0,0.299405622920893,0.258322236695224,0.000607662224682035,0.00311121892504673
212,172065,0,0,0.299405622920893,0.258322236695224,0.000607662224682035,0.00311121892504673
213,172065,0,0,0.299405622920893,0.258322236695224,0.000607662224682035,0.00311121892504673
214,172065,0,0,0.299405622920893,0.258322236695224,0.000607662224682035,0.00311121892504673
215,172065,0,0,0.299405622920893,0.258322236695224,0.000607662224682035,0.00311121892504673
216,172065,0,0,0.299405622920893,0.258322236695224,0.000607662224682035,0.00311121892504673
217,172065,4841,0,0.29100001371064,0.25019654937255,0.000602671886281074,0.00308439366114758
218,167224,0,0,0.29100001371064,0.25019654937255,0.000602671886281074,0.00308439366114758
219,167224,0,0,0.29100001371064,0.25019654937255,0.000602671886281074,0.00308439366114758
220,167224,0,0,0.29100001371064,0.25019654937255,0.000602671886281074,0.00308439366114758
221,167224,0,0,0.29100001371064,0.25019654937255,0.000602671886281074,0.00308439366114758
222,167224,0,0,0.29100001371064,0.25019654937255,0.000602671886281074,0.00308439366114758
223,167224,0,0,0.29100001371064,0.25019654937255,0.000602671886281074,0.00308439366114758
224,167224,4772,0,0.282713588638404,0.242214145086046,0.000597505123119544,0.00305578587708252
225,162452,0,0,0.282713588638404,0.242214145086046,0.000597505123119544,0.00305578587708252
226,162452,0,0,0.282713588638404,0.242214145086046,0.000597505123119544,0.00305578587708252
227,162452,0,0,0.282713588638404,0.242214145086046,0.000597505123119544,0.00305578587708252
228,162452,0,0,0.282713588638404,0.242214145086046,0.000597505123119544,0.00305578587708252
229,162452,0,0,0.282713588638404,0.242214145086046,0.000597505123119544,0.00305578587708252
230,162452,0,0,0.282713588638404,0.242214145086046,0.000597505123119544,0.00305578587708252
231,162452,3600,0,0.276461872453583,0.236210677361181,0.000593440597513274,0.00303275352458242
232,158852,0,0,0.276461872453583,0.236210677361181,0.000593440597513274,0.00303275352458242
233,158852,0,0,0.276461872453583,0.236210677361181,0.000593440597513274,0.00303275352458242
234,158852,0,0,0.276461872453583,0.236210677361181,0.000593440597513274,0.00303275352458242
235,158852,0,0,0.276461872453583,0.236210677361181,0.000593440597513274,0.00303275352458242
236,158852,0,0,0.276461872453583,0.236210677361181,0.000593440597513274,0.00303275352458242
237,158852,0,0,0.276461872453583,0.236210677361181,0.000593440597513274,0.00303275352458242
238,158852,3834,0,0.269803354270155,0.229834817129896,0.00058895028285451,0.00300682725339863
239,155018,0,0,0.269803354270155,0.229834817129896,0.00058895028285451,0.00300682725339863
240,155018,0,0,0.269803354270155,0.229834817129896,0.00058895028285451,0.00300682725339863
241,155018,0,0,0.269803354270155,0.229834817129896,0.00058895028285451,0.00300682725339863
242,155018,0,0,0.269803354270155,0.229834817129896,0.00058895028285451,0.00300682725339863
243,155018,0,0,0.269803354270155,0.229834817129896,0.00058895028285451,0.00300682725339863
244,155018,0,0,0.269803354270155,0.229834817129896,0.00058895028285451,0.00300682725339863
245,155018,3060,0,0.26448871585863,0.224759567979568,0.000585244367380219,0.00298508305450929
246,151958,0,0,0.26448871585863,0.224759567979568,0.000585244367380219,0.00298508305450929
247,151958,0,0,0.26448871585863,0.224759567979568,0.000585244367380219,0.00298508305450929
248,151958,0,0,0.26448871585863,0.224759567979568,0.000585244367380219,0.00298508305450929
249,151958,0,0,0.26448871585863,0.224759567979568,0.000585244367380219,0.00298508305450929
250,151958,0,0,0.26448871585863,0.224759567979568,0.000585244367380219,0.00298508305450929
251,151958,0,0,0.26448871585863,0.224759567979568,0.000585244367380219,0.00298508305450929
252,151958,2388,0,0.260341014037274,0.220807342548412,0.000582275600284974,0.00296745488789119
253,149570,0,0,0.260341014037274,0.220807342548412,0.000582275600284974,0.00296745488789119
254,149570,0,0,0.260341014037274,0.220807342548412,0.000582275600284974,0.00296745488789119
255,149570,0,0,0.260341014037274,0.220807342548412,0.000582275600284974,0.00296745488789119
256,149570,0,0,0.260341014037274,0.220807342548412,0.000582275600284974,0.00296745488789119
257,149570,0,0,0.260341014037274,0.220807342548412,0.000582275600284974,0.00296745488789119
258,149570,0,0,0.260341014037274,0.220807342548412,0.000582275600284974,0.00296745488789119
259,149570,1287,0,0.258105565587356,0.218680434207676,0.000580647377541787,0.00295771140373316
