year,log_real_gdp_per_capita,real_gdp_per_capita_growth,scenario_real_gdp,scenario_real_gdp_growth,scenario_nominal_gdp,scenario_nominal_gdp_growth,income_case,income_case_label
2041,-2.31855986216757,-0.000454296311716562,3253516.79631391,0.00924574209245099,5028812.50338403,0.0344768856447621,pressure_gdp,GDP PC model: 0.10% growth
2042,-2.31892188273317,-0.000361955044062334,3283597.9735061,0.00924574209245388,5202190.29699217,0.034476885644765,pressure_gdp,GDP PC model: 0.10% growth
2043,-2.31919327487294,-0.000271355316254218,3313957.27350445,0.00924574209245721,5381545.61696389,0.0344768856447686,pressure_gdp,GDP PC model: 0.10% growth
2044,-2.3193757398395,-0.000182448320840467,3344597.26776073,0.00924574209246654,5567084.54979211,0.0344768856447781,pressure_gdp,GDP PC model: 0.10% growth
2045,-2.31947093142741,-9.51870573344671e-05,3375520.55150156,0.00924574209245121,5759020.28719002,0.0344768856447624,pressure_gdp,GDP PC model: 0.10% growth
2046,-2.31948045772201,-9.52624922523349e-06,3406729.74394853,0.00924574209245765,5957573.37105737,0.034476885644769,pressure_gdp,GDP PC model: 0.10% growth
2047,-2.31940588276861,7.45777341810694e-05,3438227.48853979,0.00924574209245899,6162971.94689165,0.0344768856447704,pressure_gdp,GDP PC model: 0.10% growth
2048,-2.31924872816608,0.000157166951961552,3470016.45315401,0.00924574209245366,6375452.02593652,0.0344768856447648,pressure_gdp,GDP PC model: 0.10% growth
2049,-2.31901047458899,0.000238281961727704,3502099.33033646,0.00924574209245699,6595257.75636844,0.0344768856447684,pressure_gdp,GDP PC model: 0.10% growth
2050,-2.31869256324219,0.000317961885967444,3534478.83752691,0.00924574209245721,6822641.70383253,0.0344768856447686,pressure_gdp,GDP PC model: 0.10% growth
2051,-2.31829639725129,0.000396244475010077,3567157.71728996,0.00924574209246498,7057865.14165085,0.0344768856447766,pressure_gdp,GDP PC model: 0.10% growth
2052,-2.31782334299247,0.000473166166631511,3600138.73754713,0.00924574209245366,7301198.35103572,0.0344768856447648,pressure_gdp,GDP PC model: 0.10% growth
2053,-2.31727473136468,0.000548762142672521,3633424.69181155,0.00924574209245477,7552920.93165413,0.0344768856447661,pressure_gdp,GDP PC model: 0.10% growth
2054,-2.31665185900735,0.000623066382599236,3667018.39942442,0.00924574209246121,7813322.12289878,0.0344768856447726,pressure_gdp,GDP PC model: 0.10% growth
2055,-2.31595598946625,0.000696111714479475,3700922.70579377,0.00924574209245232,8082701.13623566,0.0344768856447635,pressure_gdp,GDP PC model: 0.10% growth
2056,-2.31518835431014,0.000767929863380923,3735140.48263568,0.00924574209246098,8361367.49901053,0.0344768856447724,pressure_gdp,GDP PC model: 0.10% growth
2057,-2.31435015420082,0.000838551497202689,3769674.62821722,0.00924574209245721,8649641.4101078,0.0344768856447686,pressure_gdp,GDP PC model: 0.10% growth
2058,-2.31344255991867,0.000908006270470496,3804528.0676022,0.00924574209245743,8947854.10787234,0.0344768856447688,pressure_gdp,GDP PC model: 0.10% growth
2059,-2.31246671334609,0.000976322865763768,3839703.75289876,0.00924574209245521,9256348.25071551,0.0344768856447666,pressure_gdp,GDP PC model: 0.10% growth
2060,-2.31142372841078,0.0010435290332429,3875204.66350949,0.00924574209245543,9575478.31084357,0.0344768856447668,pressure_gdp,GDP PC model: 0.10% growth
2061,-2.31031469199084,0.00110965162823873,3911033.80638378,0.00924574209245455,9905610.98156046,0.0344768856447659,pressure_gdp,GDP PC model: 0.10% growth
2062,-2.30914066478353,0.00117471664703239,3947194.21627252,0.00924574209246543,10247125.5986134,0.034476885644777,pressure_gdp,GDP PC model: 0.10% growth
2063,-2.30790268213949,0.00123874926087364,3983688.95598501,0.00924574209245743,10600414.5760643,0.0344768856447688,pressure_gdp,GDP PC model: 0.10% growth
2064,-2.30660175486388,0.00130177384856855,4020521.1166486,0.00924574209245232,10965883.8571904,0.0344768856447635,pressure_gdp,GDP PC model: 0.10% growth
2065,-2.3052388699862,0.00136381402733488,4057693.81797042,0.00924574209245854,11343953.3809286,0.0344768856447699,pressure_gdp,GDP PC model: 0.10% growth
2066,-2.30381499150018,0.0014248926822984,4095210.20850153,0.00924574209245677,11735057.5644024,0.0344768856447681,pressure_gdp,GDP PC model: 0.10% growth
