percentile,fy,percentile_label,fy_sort,base_etr,scenario,etr,etr_change_pp
0.082,FY2034_35,8.200000000000001,2034,0,Baseline,0,0
0.082,FY2034_35,8.200000000000001,2034,0,High inflation,0,0
0.082,FY2034_35,8.200000000000001,2034,0,No policy change,0,0
0.082,FY2034_35,8.200000000000001,2034,0,Indexed brackets,0,0
0.083,FY2034_35,8.3,2034,0,Baseline,0,0
0.083,FY2034_35,8.3,2034,0,High inflation,0,0
0.083,FY2034_35,8.3,2034,0,No policy change,0,0
0.083,FY2034_35,8.3,2034,0,Indexed brackets,0,0
0.084,FY2034_35,8.4,2034,0,Baseline,0,0
0.084,FY2034_35,8.4,2034,0,High inflation,0,0
0.084,FY2034_35,8.4,2034,0,No policy change,0,0
0.084,FY2034_35,8.4,2034,0,Indexed brackets,0,0
0.085,FY2034_35,8.5,2034,0,Baseline,0,0
0.085,FY2034_35,8.5,2034,0,High inflation,0,0
0.085,FY2034_35,8.5,2034,0,No policy change,0,0
0.085,FY2034_35,8.5,2034,0,Indexed brackets,0,0
0.086,FY2034_35,8.6,2034,0,Baseline,0,0
0.086,FY2034_35,8.6,2034,0,High inflation,0,0
0.086,FY2034_35,8.6,2034,0,No policy change,0,0
0.086,FY2034_35,8.6,2034,0,Indexed brackets,0,0
0.087,FY2034_35,8.7,2034,0,Baseline,0,0
0.087,FY2034_35,8.7,2034,0,High inflation,0,0
0.087,FY2034_35,8.7,2034,0,No policy change,0,0
0.087,FY2034_35,8.7,2034,0,Indexed brackets,0,0
0.088,FY2034_35,8.799999999999999,2034,0,Baseline,0,0
0.088,FY2034_35,8.799999999999999,2034,0,High inflation,0,0
0.088,FY2034_35,8.799999999999999,2034,0,No policy change,0,0
0.088,FY2034_35,8.799999999999999,2034,0,Indexed brackets,0,0
0.089,FY2034_35,8.9,2034,0,Baseline,0,0
0.089,FY2034_35,8.9,2034,0,High inflation,0,0
0.089,FY2034_35,8.9,2034,0,No policy change,0,0
0.089,FY2034_35,8.9,2034,0,Indexed brackets,0,0
0.09,FY2034_35,9,2034,0,Baseline,0,0
0.09,FY2034_35,9,2034,0,High inflation,0,0
0.09,FY2034_35,9,2034,0,No policy change,0,0
0.09,FY2034_35,9,2034,0,Indexed brackets,0,0
0.091,FY2034_35,9.1,2034,0,Baseline,0,0
0.091,FY2034_35,9.1,2034,0,High inflation,0,0
0.091,FY2034_35,9.1,2034,0,No policy change,0,0
0.091,FY2034_35,9.1,2034,0,Indexed brackets,0,0
0.092,FY2034_35,9.2,2034,0,Baseline,0,0
0.092,FY2034_35,9.2,2034,0,High inflation,0,0
0.092,FY2034_35,9.2,2034,0,No policy change,0,0
0.092,FY2034_35,9.2,2034,0,Indexed brackets,0,0
0.093,FY2034_35,9.3,2034,0,Baseline,0,0
0.093,FY2034_35,9.3,2034,0,High inflation,0,0
0.093,FY2034_35,9.3,2034,0,No policy change,0,0
0.093,FY2034_35,9.3,2034,0,Indexed brackets,0,0
0.094,FY2034_35,9.4,2034,0,Baseline,0,0
0.094,FY2034_35,9.4,2034,0,High inflation,0,0
0.094,FY2034_35,9.4,2034,0,No policy change,0,0
0.094,FY2034_35,9.4,2034,0,Indexed brackets,0,0
0.095,FY2034_35,9.5,2034,0,Baseline,0,0
0.095,FY2034_35,9.5,2034,0,High inflation,0,0
0.095,FY2034_35,9.5,2034,0,No policy change,0,0
0.095,FY2034_35,9.5,2034,0,Indexed brackets,0,0
0.096,FY2034_35,9.6,2034,0,Baseline,0,0
0.096,FY2034_35,9.6,2034,0,High inflation,0,0
0.096,FY2034_35,9.6,2034,0,No policy change,0,0
0.096,FY2034_35,9.6,2034,0,Indexed brackets,0,0
0.097,FY2034_35,9.700000000000001,2034,0,Baseline,0,0
0.097,FY2034_35,9.700000000000001,2034,0,High inflation,0,0
0.097,FY2034_35,9.700000000000001,2034,0,No policy change,0,0
0.097,FY2034_35,9.700000000000001,2034,0,Indexed brackets,0,0
0.098,FY2034_35,9.8,2034,0,Baseline,0,0
0.098,FY2034_35,9.8,2034,0,High inflation,0,0
0.098,FY2034_35,9.8,2034,0,No policy change,0,0
0.098,FY2034_35,9.8,2034,0,Indexed brackets,0,0
0.099,FY2034_35,9.9,2034,0,Baseline,0,0
0.099,FY2034_35,9.9,2034,0,High inflation,0,0
0.099,FY2034_35,9.9,2034,0,No policy change,0,0
0.099,FY2034_35,9.9,2034,0,Indexed brackets,0,0
0.1,FY2034_35,10,2034,0,Baseline,0,0
0.1,FY2034_35,10,2034,0,High inflation,0,0
0.1,FY2034_35,10,2034,0,No policy change,0,0
0.1,FY2034_35,10,2034,0,Indexed brackets,0,0
0.101,FY2034_35,10.100000000000001,2034,0,Baseline,0,0
0.101,FY2034_35,10.100000000000001,2034,0,High inflation,0,0
0.101,FY2034_35,10.100000000000001,2034,0,No policy change,0,0
0.101,FY2034_35,10.100000000000001,2034,0,Indexed brackets,0,0
0.102,FY2034_35,10.2,2034,0,Baseline,0,0
0.102,FY2034_35,10.2,2034,0,High inflation,0,0
0.102,FY2034_35,10.2,2034,0,No policy change,0,0
0.102,FY2034_35,10.2,2034,0,Indexed brackets,0,0
0.103,FY2034_35,10.299999999999999,2034,0,Baseline,0,0
0.103,FY2034_35,10.299999999999999,2034,0,High inflation,0,0
0.103,FY2034_35,10.299999999999999,2034,0,No policy change,0,0
0.103,FY2034_35,10.299999999999999,2034,0,Indexed brackets,0,0
0.104,FY2034_35,10.4,2034,0,Baseline,0,0
0.104,FY2034_35,10.4,2034,0,High inflation,0,0
0.104,FY2034_35,10.4,2034,0,No policy change,0,0
0.104,FY2034_35,10.4,2034,0,Indexed brackets,0,0
0.105,FY2034_35,10.5,2034,0,Baseline,0,0
0.105,FY2034_35,10.5,2034,0,High inflation,0,0
0.105,FY2034_35,10.5,2034,0,No policy change,0,0
0.105,FY2034_35,10.5,2034,0,Indexed brackets,0,0
0.106,FY2034_35,10.6,2034,0,Baseline,0,0
0.106,FY2034_35,10.6,2034,0,High inflation,0,0
0.106,FY2034_35,10.6,2034,0,No policy change,0,0
0.106,FY2034_35,10.6,2034,0,Indexed brackets,0,0
0.107,FY2034_35,10.7,2034,0,Baseline,0,0
0.107,FY2034_35,10.7,2034,0,High inflation,0,0
0.107,FY2034_35,10.7,2034,0,No policy change,0,0
0.107,FY2034_35,10.7,2034,0,Indexed brackets,0,0
0.108,FY2034_35,10.8,2034,0,Baseline,0,0
0.108,FY2034_35,10.8,2034,0,High inflation,0,0
0.108,FY2034_35,10.8,2034,0,No policy change,0,0
0.108,FY2034_35,10.8,2034,0,Indexed brackets,0,0
0.109,FY2034_35,10.9,2034,0,Baseline,0,0
0.109,FY2034_35,10.9,2034,0,High inflation,0,0
0.109,FY2034_35,10.9,2034,0,No policy change,0,0
0.109,FY2034_35,10.9,2034,0,Indexed brackets,0,0
0.11,FY2034_35,11,2034,0,Baseline,0,0
0.11,FY2034_35,11,2034,0,High inflation,0,0
0.11,FY2034_35,11,2034,0,No policy change,0,0
0.11,FY2034_35,11,2034,0,Indexed brackets,0,0
0.111,FY2034_35,11.1,2034,0,Baseline,0,0
0.111,FY2034_35,11.1,2034,0,High inflation,0,0
0.111,FY2034_35,11.1,2034,0,No policy change,1.6770792872509e-4,0.016770792872509002
0.111,FY2034_35,11.1,2034,0,Indexed brackets,0,0
0.112,FY2034_35,11.200000000000001,2034,0,Baseline,0,0
0.112,FY2034_35,11.200000000000001,2034,0,High inflation,0,0
