AGE_FY_START,YOB_group,p10,p25,median,p75,p90,total_tax,total_income,mean_income,mean_post_tax
45,"Late Gen X, 1974-1975",0,0.0870598197789555,0.170596394648516,0.225232429069568,0.265397781409268,13070808602.8001,56874738500.6126,106690.412545561,82171.0916853552
54,"Early Gen X, 1965-1966",0,0.0810054220361729,0.158999739396244,0.215482781874983,0.259503569511986,11480158673.197,51254249305.6414,106727.434080484,82822.1404779836
39,"Early Millenials, 1981-1982",0,0.0805782664782851,0.171164378222474,0.229144518159986,0.271695769073962,13456509668.9623,60239018213.2875,95174.2491528145,73913.7233018374
23,Zoomers: 1997-98,0,0.0222727421224269,0.0872118437852527,0.140520058639489,0.183205552167421,3571727380.00924,28067544504.7243,49844.6007105729,43501.6402469807
64,"Late Boomers, 1956-1957",0,0,0.0894246859373245,0.180187808547685,0.238864621500872,6152727330.61577,30711758374.4161,82923.6216847736,66310.8824442042
30,"Late Millenials, 1990-1991 ",0,0.066857771444445,0.14503177351763,0.201136800749441,0.240046978382139,8845464969.68923,48050182290.4648,72586.5367069928,59224.2217873223
46,"Late Gen X, 1974-1975",0,0.0865597763023456,0.176526852103722,0.234260152651843,0.279786755350698,13960986917.3337,58016776227.2783,108315.023854673,82250.4141103832
55,"Early Gen X, 1965-1966",0,0.0784100123875304,0.161952448728416,0.223640428851957,0.271364986803955,11961959238.5516,51054674946.8106,106762.93259978,81748.6934673738
27,"Early Millenials, 1981-1982",0,0.0480032557864907,0.100350072857699,0.14130823934648,0.161913271524361,2041770434.44,16186273357.4649,62790.0620576331,54869.5920733052
18,"Late Millenials, 1990-1991 ",0,0,0,0.0341865905753089,0.0651489922247144,216864769.08,4409790463.9709,23205.2709724097,22064.0816637596
34,"Late Gen X, 1974-1975",0,0.0485416703692045,0.11293389183049,0.155540808236593,0.184982801566927,2879058917.16,19182012475.1084,76710.8666663004,65197.210056741
43,"Early Gen X, 1965-1966",0,0.0526636827140638,0.113217659838941,0.157423329036639,0.191351348469952,3480743386.87,21286731995.742,85043.854830913,71137.735500062
52,"Late Boomers, 1956-1957",0,0.0566524536517939,0.11172683501825,0.154434464737197,0.182652562087663,3335661770.01,20950722361.8274,83995.743674787,70622.3913778733
11,Zoomers: 1997-98,0,0,0,0,0.0323052167489544,1834642.76,20711377.8835631,10073.6273752739,9181.29140251121
